estacion,start_date,harvest_date,harvest_steps,dry_yield,fresh_yield,yield_potencial,seasonal_irrigation,type_soil,MinTemp_min,MaxTemp_min,Precipitation_min,ReferenceET_min,MinHmd_min,MaxHmd_min,Radsolar_min,MinTemp_max,MaxTemp_max,Precipitation_max,ReferenceET_max,MinHmd_max,MaxHmd_max,Radsolar_max,MinTemp_mean,MaxTemp_mean,Precipitation_mean,ReferenceET_mean,MinHmd_mean,MaxHmd_mean,Radsolar_mean,MinTemp_last_quarter_min,MaxTemp_last_quarter_min,Precipitation_last_quarter_min,ReferenceET_last_quarter_min,MinHmd_last_quarter_min,MaxHmd_last_quarter_min,Radsolar_last_quarter_min,MinTemp_last_quarter_max,MaxTemp_last_quarter_max,Precipitation_last_quarter_max,ReferenceET_last_quarter_max,MinHmd_last_quarter_max,MaxHmd_last_quarter_max,Radsolar_last_quarter_max,MinTemp_last_quarter_mean,MaxTemp_last_quarter_mean,Precipitation_last_quarter_mean,ReferenceET_last_quarter_mean,MinHmd_last_quarter_mean,MaxHmd_last_quarter_mean,Radsolar_last_quarter_mean
SEC,2021/01/01,2021-11-20,322,29.51422188342274,98.38073961140913,34.5269596613576,1275,SiltClayLoam,15.9,24.0,0.0,1.7,34.0,92.0,104.8,21.1,34.8,53.0,9.5,72.0,100.0,647.7,19.006172839506174,30.954012345679008,3.7851851851851857,6.057407407407407,51.114197530864196,99.21913580246914,470.0429012345678,15.9,25.6,0.0,2.1,34.0,92.0,209.1,20.0,34.5,27.2,9.5,65.0,100.0,647.7,18.808602150537634,30.810752688172045,3.9741935483870963,6.067741935483869,51.086021505376344,99.65591397849462,480.49892473118274
MAR,2021/01/01,2021-07-30,209,12.56992617635357,41.89975392117857,21.016902013112237,705,SiltClay,15.3,21.6,0.0,1.0,41.0,97.0,83.5,21.4,34.4,37.2,7.5,87.0,100.0,614.1,19.03175355450237,29.72464454976303,2.5687203791469195,4.895260663507108,55.12322274881517,99.92890995260663,446.56919431279624,15.3,22.6,0.0,1.3,44.0,99.0,130.5,21.4,32.0,30.4,7.3,85.0,100.0,602.0,18.818478260869565,29.73586956521739,2.3586956521739126,5.116304347826087,55.28260869565217,99.95652173913044,457.8315217391304
PAR,2021/02/20,2021-11-01,253,23.615230108513604,78.71743369504534,26.27823894641884,1380,SandyLoam,14.2,22.8,0.0,2.1,33.0,98.0,142.1,20.0,33.8,70.9,7.5,79.0,100.0,640.2,17.901960784313726,30.146274509803924,6.125098039215687,4.498431372549019,50.741176470588236,99.98039215686275,426.89882352941174,14.2,25.7,0.0,2.2,33.0,98.0,236.1,19.3,33.8,55.4,7.4,68.0,100.0,637.2,17.486021505376346,30.56129032258065,5.943010752688172,4.724731182795699,48.74193548387097,99.97849462365592,444.9440860215054
VIR,2021/01/01,2021-12-16,348,31.38556320619388,104.61854402064627,36.677853715729135,615,ClayLoam,16.0,24.7,0.0,1.2,33.0,98.0,156.8,21.0,34.6,64.6,6.7,76.0,100.0,614.2,18.975142857142856,30.545428571428577,7.097142857142857,4.396,49.36,99.9,462.20142857142855,16.7,25.4,0.0,1.8,35.0,99.0,244.5,20.3,33.4,64.6,6.4,66.0,100.0,602.6,18.93586956521739,30.5695652173913,7.145652173913043,4.623913043478261,49.41304347826087,99.95652173913044,480.92282608695655
MEL,2021/01/01,2021-12-17,349,31.439694161223407,104.79898053741137,36.73198467075867,945,ClayLoam,13.4,22.7,0.0,1.4,25.0,100.0,128.4,21.0,35.3,73.8,7.0,89.0,100.0,569.0,18.72905982905983,30.774074074074075,4.82991452991453,4.346723646723647,53.49287749287749,100.0,416.70512820512823,16.7,27.6,0.0,2.5,25.0,100.0,247.1,20.1,35.3,47.5,7.0,69.0,100.0,569.0,18.70434782608696,31.017391304347836,4.989130434782608,4.578260869565217,51.91304347826087,100.0,427.05652173913046
MAR,2021/01/01,2021-10-20,291,26.853831268841578,89.51277089613859,,2250,SandyLoam,15.3,21.6,0.0,1.0,29.0,96.0,83.5,21.4,34.4,37.2,8.5,87.0,100.0,651.7,18.911945392491464,29.833904109589042,2.6556313993174063,5.08527397260274,54.20136518771331,99.9283276450512,455.896928327645,15.3,25.6,0.0,2.3,29.0,96.0,248.1,20.2,33.8,34.4,8.5,70.0,100.0,651.7,18.590322580645157,30.083695652173905,2.7419354838709675,5.521739130434782,52.18279569892473,99.93548387096774,475.81827956989247
BLG,2021/03/06,2021-11-01,239,1.3488344880370797,4.4961149601236,24.60946655063167,510,Clay,15.2,24.4,0.0,1.9,32.0,98.0,117.7,20.9,33.9,67.8,8.2,69.0,100.0,672.8,18.483402489626556,30.232780082987553,4.593360995850622,5.008298755186722,50.19917012448133,99.92946058091286,458.0161825726141,15.2,25.1,0.0,2.3,32.0,98.0,209.2,20.2,33.9,62.8,8.0,67.0,100.0,651.1,18.213978494623653,30.41505376344087,5.124731182795699,5.243010752688172,49.01075268817204,99.96774193548387,480.7924731182795
PRA,2021/01/01,2021-12-20,352,1.8383296182480067,6.127765394160022,36.87232702048436,825,Clay,15.0,21.7,0.0,1.6,28.0,86.0,121.8,21.0,33.5,51.0,8.9,86.0,100.0,691.5,18.34039548022599,29.377683615819212,4.005084745762712,4.891242937853107,49.559322033898304,96.16666666666667,408.8672316384181,16.4,24.5,0.0,2.3,28.0,86.0,205.4,20.1,33.5,39.8,8.2,69.0,100.0,605.1,18.128260869565217,29.743478260869562,4.908695652173912,5.179347826086956,48.42391304347826,96.71739130434783,426.4652173913043
VIR,2021/02/08,2021-11-01,265,24.697432347464286,82.32477449154763,27.71615113953191,555,SiltClayLoam,16.0,24.7,0.0,1.2,35.0,98.0,156.8,21.0,34.3,64.6,6.7,76.0,100.0,614.2,18.938576779026214,30.412359550561796,7.367415730337079,4.321348314606741,49.91011235955056,99.9250936329588,456.0385767790262,16.7,25.4,0.0,1.8,35.0,99.0,224.8,20.3,33.4,64.6,6.4,66.0,100.0,604.4,18.791397849462367,30.435483870967747,8.906451612903227,4.497849462365591,49.225806451612904,99.95698924731182,470.20215053763434
MAR,2021/05/30,2021-11-01,154,8.788616143733632,29.295387145778776,,555,SiltClay,15.3,24.0,0.0,1.3,29.0,80.0,130.5,21.0,33.8,38.8,8.5,75.0,100.0,651.7,18.66025641025641,29.881935483870972,3.1493589743589747,5.370322580645162,53.23076923076923,99.71794871794872,467.44487179487174,15.3,25.2,0.0,2.2,29.0,80.0,202.3,21.0,33.8,38.8,8.5,75.0,100.0,651.7,18.67096774193548,29.90869565217392,3.7311827956989245,5.427173913043479,52.54838709677419,99.56989247311827,468.14838709677423
CEN,2021/02/04,2021-11-01,269,1.5579016387740554,5.193005462580185,28.189807705579963,570,Clay,15.0,22.3,0.0,1.5,29.0,93.0,153.0,22.0,34.6,70.7,8.0,86.0,100.0,626.2,19.09114391143912,29.56715867158671,3.9228782287822876,4.606642066420664,53.1070110701107,99.4280442804428,433.5214022140222,15.0,25.8,0.0,2.2,29.0,95.0,230.0,20.9,34.6,24.0,8.0,69.0,100.0,626.2,18.92903225806452,29.8247311827957,2.3462365591397853,4.703225806451613,50.666666666666664,99.3010752688172,433.3215053763441
GIN,2021/01/01,2021-08-13,223,13.23227212977885,44.1075737659295,22.694047704183838,645,SiltClay,14.5,23.5,0.0,1.5,28.0,92.0,160.3,21.5,33.5,78.8,7.8,82.0,100.0,655.2,18.839555555555553,30.162666666666667,3.859111111111111,4.5728888888888894,51.36,99.30222222222223,439.24355555555553,14.5,24.4,0.0,1.6,28.0,96.0,164.8,21.5,33.5,45.2,7.2,71.0,100.0,623.1,18.63225806451613,30.210752688172043,2.941935483870968,4.574193548387097,50.774193548387096,99.36559139784946,438.8301075268817
AMA,2021/01/01,2021-09-04,245,22.771881217826515,75.90627072608838,,885,ClayLoam,15.1,20.5,0.0,1.7,27.0,84.0,159.9,21.2,33.5,74.1,8.0,82.0,100.0,654.4,18.691902834008097,29.500809716599186,3.361943319838057,4.75040650406504,51.21138211382114,97.49392712550608,424.18821138211376,15.7,24.1,0.0,1.9,27.0,84.0,173.3,20.5,33.5,33.5,7.9,73.0,100.0,590.1,18.612903225806452,29.53118279569892,1.8892473118279571,4.834408602150537,49.645161290322584,96.3010752688172,422.5118279569893
TUL,2021/01/01,2021-08-12,222,13.093366820881263,43.644556069604214,22.575120760739313,570,SiltClay,15.3,23.4,0.0,1.6,30.0,96.0,111.5,21.3,33.5,63.1,7.3,82.0,100.0,647.4,18.762946428571432,30.091517857142858,3.979464285714286,4.645535714285714,51.151785714285715,99.875,448.6982142857143,15.3,23.7,0.0,2.4,30.0,97.0,236.3,21.3,33.5,63.1,6.8,74.0,100.0,614.2,18.69247311827957,30.151612903225807,3.684946236559139,4.727956989247313,50.89247311827957,99.89247311827957,455.49139784946243
VIR,2021/01/01,2021-12-30,362,31.88959213396826,106.29864044656087,37.18410857805774,705,SiltClayLoam,16.0,24.7,0.0,1.2,33.0,98.0,156.8,21.0,34.6,64.6,6.7,76.0,100.0,614.2,18.96043956043956,30.546703296703296,7.0623626373626385,4.401373626373626,49.29120879120879,99.90384615384616,462.5607142857143,16.7,25.4,0.0,1.8,35.0,99.0,244.5,20.3,33.4,64.6,6.4,66.0,100.0,604.4,18.91304347826087,30.460869565217394,7.325,4.568478260869566,49.77173913043478,99.96739130434783,476.8619565217391
PRA,2021/03/18,2021-11-01,227,13.677631258465215,45.59210419488405,23.171848708231227,690,SiltClay,15.0,23.1,0.0,2.0,28.0,86.0,191.9,21.0,33.5,51.0,8.9,76.0,100.0,691.5,18.26768558951965,29.282969432314406,3.6921397379912664,4.75938864628821,49.956331877729255,96.3056768558952,399.02707423580785,15.0,24.5,0.0,2.3,28.0,86.0,205.4,20.1,33.5,39.8,8.2,70.0,100.0,605.1,18.089247311827958,29.536559139784938,3.3698924731182793,4.926881720430107,47.96774193548387,95.97849462365592,404.73763440860216
AMA,2021/01/01,2021-06-12,161,9.131168903507431,30.437229678358104,,405,SiltClay,15.1,20.5,0.0,1.7,39.0,92.0,159.9,21.2,33.3,74.1,8.0,82.0,100.0,654.4,18.734969325153372,29.46503067484662,4.177300613496932,4.666666666666667,52.28395061728395,98.28220858895706,423.60493827160496,15.1,20.5,0.0,2.2,40.0,94.0,185.3,21.0,32.1,49.9,8.0,77.0,100.0,654.4,18.787096774193547,29.31290322580644,4.519354838709677,4.695652173913043,53.06521739130435,98.73118279569893,430.61630434782603
GIN,2021/01/01,2021-12-14,346,19.949157351993836,66.49719117331279,36.559834792899146,810,SiltClay,14.5,23.5,0.0,1.5,28.0,92.0,160.3,21.5,34.1,78.8,7.8,82.0,100.0,655.2,18.694827586206895,30.1330459770115,4.239367816091954,4.573275862068965,51.25,99.4683908045977,439.5379310344827,16.4,24.9,0.0,2.0,28.0,97.0,234.4,20.1,34.1,32.2,7.7,70.0,100.0,629.2,18.4,30.18586956521739,5.8097826086956506,4.654347826086957,50.80434782608695,99.81521739130434,443.0184782608695
ROZ,2021/03/28,2021-11-01,217,13.151491182628954,43.838303942096516,21.979013437648035,780,SiltClay,14.9,22.9,0.0,1.9,27.0,92.0,154.2,21.5,34.7,37.9,9.0,80.0,100.0,639.4,18.773059360730596,29.92785388127854,2.8018264840182647,5.6776255707762555,50.730593607305934,97.37442922374429,460.2146118721461,14.9,25.3,0.0,2.4,27.0,92.0,221.3,20.3,34.7,37.9,9.0,67.0,100.0,639.4,18.566666666666666,30.101075268817212,2.446236559139785,5.760215053763441,49.10752688172043,97.10752688172043,466.7741935483871
RUT,2021/01/01,2021-07-22,201,18.689756104710007,62.29918701570003,20.068927536413135,795,ClayLoam,16.3,24.5,0.0,2.0,33.0,92.0,126.5,21.4,35.0,41.5,7.7,74.0,100.0,640.9,19.139901477832513,31.16847290640394,2.9349753694581278,5.210344827586207,48.02463054187192,99.51231527093596,467.7832512315271,16.3,26.2,0.0,2.2,36.0,99.0,239.7,20.8,34.3,41.5,7.6,70.0,100.0,640.9,19.057608695652174,31.01413043478261,3.585869565217391,5.108695652173914,49.78260869565217,99.92391304347827,474.0836956521739
ORT,2021/02/27,2021-11-01,246,22.97662554218005,76.58875180726683,25.442430515158307,705,ClayLoam,14.9,22.5,0.0,1.6,28.0,97.0,162.6,21.0,34.6,61.6,7.3,89.0,100.0,618.8,18.734274193548384,30.180645161290325,4.963709677419355,4.531048387096774,52.95967741935484,99.98387096774194,432.7729838709678,14.9,25.3,0.0,2.6,28.0,97.0,279.0,20.5,34.6,42.5,7.3,71.0,100.0,605.2,18.626881720430106,30.38494623655914,4.161290322580644,4.629032258064515,50.97849462365591,99.96774193548387,439.0301075268817
ORT,2021/01/01,2021-12-07,339,30.81443423455846,102.71478078186153,36.10649386211931,2010,SandyLoam,14.9,22.5,0.0,1.6,28.0,97.0,162.6,21.0,34.6,61.6,7.3,89.0,100.0,618.8,18.825513196480937,30.228445747800592,5.180351906158358,4.588269794721407,52.733137829912025,99.9882697947214,439.6739002932552,17.2,26.4,0.0,2.6,28.0,100.0,286.5,20.5,34.6,42.5,7.3,70.0,100.0,605.2,18.76086956521739,30.358695652173914,5.422826086956522,4.754347826086956,52.16304347826087,100.0,453.33043478260873
CAN,2021/01/01,2021-12-03,335,30.52691834457662,101.75639448192207,35.818985570946836,1170,SiltClayLoam,13.9,22.6,0.0,1.5,27.0,92.0,130.4,21.7,34.7,61.7,7.4,85.0,100.0,626.9,18.775370919881308,30.82106824925816,3.8531157270029674,4.637685459940653,49.69436201780415,99.58160237388724,437.51543026706236,16.7,25.7,0.0,2.4,27.0,95.0,254.3,20.5,34.7,49.8,7.4,68.0,100.0,611.7,18.675,31.067391304347833,5.051086956521739,4.8489130434782615,48.869565217391305,99.84782608695652,454.4934782608695
PSJ,2021/01/01,2021-08-07,217,20.24148009187207,67.47160030624023,21.97289462394698,630,SiltClayLoam,14.3,21.5,0.0,0.9,28.0,88.0,83.5,21.3,33.0,94.4,6.8,91.0,100.0,607.6,18.557990867579914,29.61506849315068,4.87945205479452,3.6908675799086756,51.21917808219178,99.01369863013699,399.1255707762557,14.3,24.1,0.0,1.3,28.0,93.0,182.9,21.0,33.0,35.7,6.8,75.0,100.0,583.0,18.369892473118277,29.897849462365592,3.5838709677419356,3.6419354838709683,50.10752688172043,99.3225806451613,405.294623655914
YOT,2021/01/01,2021-09-27,268,24.963485665523205,83.21161888507736,28.074614745943755,1995,SandyLoam,15.3,23.7,0.0,1.5,30.0,94.0,143.7,21.2,38.3,74.4,9.3,82.0,100.0,661.7,18.9437037037037,30.36111111111111,3.3003703703703704,5.051481481481482,52.333333333333336,99.55925925925926,447.2481481481482,15.6,25.6,0.0,1.9,30.0,94.0,206.6,20.1,34.3,69.5,8.6,74.0,100.0,654.6,18.647311827956983,30.83225806451613,2.118279569892473,5.274193548387097,49.88172043010753,99.44086021505376,452.53763440860223
ARE,2021/02/09,2021-08-19,190,0.940216426570322,3.134054755234407,16.574426235408048,135,Clay,13.0,17.2,0.0,0.3,38.0,77.0,80.5,16.5,25.8,70.4,4.6,90.0,100.0,571.8,14.921875,21.87395833333333,6.5421875,1.5515625,69.04166666666667,99.359375,266.3875,13.2,17.3,0.0,0.5,38.0,77.0,127.2,16.5,25.8,44.4,4.6,88.0,100.0,571.8,15.03010752688172,22.13333333333333,3.8763440860215055,1.6032258064516123,67.21505376344086,98.86021505376344,272.44731182795704
ZAR,2021/01/01,2021-10-13,284,26.244386614315697,87.48128871438566,,1035,SiltClayLoam,15.8,24.2,0.0,2.1,33.0,94.0,91.5,20.8,34.6,57.4,8.6,74.0,100.0,661.7,18.907342657342657,30.84475524475524,4.289510489510489,5.479298245614035,49.59440559440559,99.45454545454545,454.69754385964916,15.8,25.4,0.0,2.4,33.0,97.0,213.8,20.6,34.6,50.4,8.6,66.0,100.0,661.7,18.73225806451613,31.015053763440868,4.716129032258065,6.063440860215054,48.25806451612903,99.65591397849462,503.0677419354839
TUL,2021/01/01,2021-09-20,261,24.337562416902955,81.12520805634318,27.235147644069947,870,SiltClayLoam,14.8,23.4,0.0,1.6,30.0,96.0,111.5,21.3,33.8,63.1,7.7,82.0,100.0,650.2,18.672243346007605,30.084790874524714,3.922813688212927,4.6695817490494305,51.06463878326996,99.89353612167301,450.67072243346007,14.8,25.2,0.0,2.3,30.0,97.0,256.7,20.3,33.8,37.2,7.7,70.0,100.0,650.2,18.20537634408602,30.265591397849466,2.625806451612903,4.879569892473119,49.32258064516129,99.90322580645162,464.7193548387097
PTA,2021/01/01,2021-10-09,280,1.5772669228273597,5.257556409424533,29.505089523332227,615,Clay,15.5,22.5,0.0,1.5,23.0,86.0,113.4,22.0,35.6,59.3,7.9,93.0,100.0,635.8,19.583333333333332,30.237234042553197,3.856028368794326,4.531560283687943,52.234042553191486,98.98581560283688,431.018085106383,15.5,26.0,0.0,2.3,23.0,86.0,199.1,22.0,35.6,59.3,7.9,70.0,100.0,635.8,19.55913978494624,30.78279569892473,2.8505376344086018,4.791397849462366,49.03225806451613,98.40860215053763,446.9010752688173
PRA,2021/01/01,2021-08-23,233,21.76491436475787,72.54971454919291,23.884315958865788,930,SiltClayLoam,15.0,21.7,0.0,1.6,29.0,86.0,121.8,21.0,33.5,51.0,8.9,86.0,100.0,691.5,18.457872340425528,29.203829787234042,3.8451063829787233,4.777021276595744,50.35744680851064,96.0127659574468,402.2489361702128,15.0,23.8,0.0,2.0,29.0,87.0,191.9,21.0,33.5,43.0,7.8,75.0,100.0,583.0,18.182795698924732,29.239784946236558,2.153763440860215,4.5139784946236565,49.53763440860215,95.82795698924731,374.4225806451614
HON,2021/01/01,2021-11-10,312,28.69770802985495,95.65902676618317,33.32386747050466,1155,ClayLoam,14.5,22.1,0.0,0.8,16.0,70.0,91.7,23.5,35.0,69.9,9.1,87.0,100.0,654.5,18.824203821656052,29.834713375796174,3.2974522292993633,5.063057324840764,46.31528662420382,97.21974522292993,433.78757961783447,15.9,26.4,0.0,2.3,18.0,87.0,243.4,20.7,35.0,42.5,9.1,60.0,100.0,639.4,18.755913978494625,29.947311827956987,2.9774193548387093,5.235483870967743,40.784946236559136,94.9247311827957,436.5720430107528
ZAR,2021/02/27,2021-11-01,246,14.231262235403236,47.43754078467745,,615,SiltClay,15.8,24.2,0.0,2.1,33.0,95.0,91.5,20.8,34.6,57.4,8.6,74.0,100.0,661.7,18.919354838709676,30.671774193548387,4.9947580645161285,5.388259109311741,50.33064516129032,99.74193548387096,453.66842105263163,15.8,25.4,0.0,2.4,33.0,97.0,213.8,20.6,34.6,50.4,8.6,66.0,100.0,661.7,18.752688172043012,30.77849462365591,4.99247311827957,5.956989247311829,48.903225806451616,99.73118279569893,499.76236559139784
ORT,2021/03/11,2021-11-01,234,21.863345311819522,72.87781770606507,24.008732702068862,1485,SandyLoam,14.9,23.2,0.0,1.7,28.0,97.0,190.2,21.0,34.6,50.9,7.3,83.0,100.0,618.8,18.707627118644066,30.25593220338983,4.709322033898306,4.547457627118645,52.61864406779661,99.98305084745763,433.65423728813556,14.9,25.3,0.0,2.6,28.0,97.0,279.0,20.5,34.6,42.5,7.3,71.0,100.0,605.2,18.626881720430106,30.38494623655914,4.161290322580644,4.629032258064515,50.97849462365591,99.96774193548387,439.0301075268817
AER,2021/01/01,2021-08-16,226,13.557143601553976,45.19047867184659,23.048942330274457,720,SiltClay,14.1,21.9,0.0,1.4,31.0,95.0,108.0,21.6,33.5,56.9,7.5,87.0,100.0,638.9,18.778508771929825,30.21754385964913,3.378947368421052,4.964473684210526,53.95175438596491,99.86842105263158,447.61228070175434,14.1,24.7,0.0,1.7,31.0,95.0,191.6,21.1,33.5,56.9,7.3,73.0,100.0,621.7,18.422580645161293,30.40860215053764,2.4397849462365584,4.978494623655913,51.946236559139784,99.87096774193549,444.32795698924724
PSJ,2021/01/30,2021-11-01,274,25.48490337014674,84.94967790048914,28.784911204133458,705,SiltClayLoam,14.3,21.5,0.0,0.9,27.0,88.0,83.5,21.3,35.3,94.4,7.0,91.0,100.0,607.6,18.46086956521739,29.66992753623188,4.604347826086956,3.7413043478260866,50.79710144927536,99.1268115942029,400.03514492753624,14.3,24.3,0.0,1.4,27.0,93.0,171.2,19.8,35.3,35.1,7.0,71.0,100.0,594.6,18.111827956989245,29.830107526881722,3.6107526881720435,3.8989247311827953,48.8494623655914,99.19354838709677,397.4118279569892
AMA,2021/04/23,2021-11-01,191,17.575115199569698,58.583717331898995,,705,ClayLoam,15.1,20.5,0.0,1.9,27.0,84.0,173.3,21.0,33.5,46.4,8.8,77.0,100.0,654.4,18.58134715025907,29.59948186528497,3.25181347150259,4.944270833333333,50.4375,97.46632124352331,434.7661458333334,15.7,25.8,0.0,2.3,27.0,84.0,212.1,20.0,33.5,41.0,8.8,67.0,100.0,640.9,18.431182795698923,29.62043010752688,3.4096774193548383,5.082795698924731,49.526881720430104,97.2258064516129,435.1440860215054
ZAR,2021/03/21,2021-11-01,224,13.05881711527955,43.52939038426517,,585,SiltClay,15.8,24.2,0.0,2.1,33.0,97.0,117.7,20.8,34.6,52.8,8.6,74.0,100.0,661.7,18.9141592920354,30.786725663716815,4.711504424778761,5.445777777777779,50.08849557522124,99.78318584070796,457.67466666666667,15.8,25.4,0.0,2.4,33.0,97.0,213.8,20.6,34.6,50.4,8.6,66.0,100.0,661.7,18.752688172043012,30.77849462365591,4.99247311827957,5.956989247311829,48.903225806451616,99.73118279569893,499.76236559139784
VIT,2021/01/01,2021-08-22,232,21.67889993377421,72.26299977924738,23.773051469007946,585,ClayLoam,16.0,24.8,0.0,2.1,34.0,99.0,158.4,20.5,34.7,73.7,7.6,74.0,100.0,654.1,18.852991452991454,30.43504273504274,6.485042735042735,5.0927350427350415,50.48717948717949,99.95299145299145,480.9235042735043,16.5,25.5,0.0,2.3,34.0,100.0,229.8,20.5,34.7,55.4,7.6,72.0,100.0,626.1,18.739784946236558,30.418279569892473,7.094623655913978,4.960215053763441,50.97849462365591,100.0,472.4709677419355
YOT,2021/01/01,2021-09-12,253,23.619287875979527,78.73095958659843,26.282296713884765,1860,SandyLoam,15.3,23.7,0.0,1.5,30.0,94.0,143.7,21.2,38.3,74.4,9.3,82.0,100.0,661.7,18.961960784313728,30.252941176470593,3.123921568627451,4.957647058823529,52.772549019607844,99.5764705882353,442.14000000000004,15.6,24.1,0.0,1.7,30.0,94.0,158.8,20.1,33.9,52.2,7.8,80.0,100.0,605.2,18.65913978494624,30.424731182795703,2.095698924731183,5.009677419354839,51.53763440860215,99.53763440860214,440.2139784946237
AER,2021/01/01,2021-12-09,341,30.9476368719283,103.15878957309434,36.23964615363812,1230,ClayLoam,14.1,21.9,0.0,1.4,27.0,95.0,108.0,21.6,34.9,56.9,8.8,87.0,100.0,655.3,18.755685131195335,30.286588921282807,3.4865889212827983,5.1000000000000005,53.32069970845481,99.8600583090379,452.79941690962096,16.6,25.7,0.0,2.8,27.0,95.0,252.9,20.7,34.9,36.6,8.8,74.0,100.0,655.3,18.72173913043478,30.42934782608696,3.825,5.485869565217392,52.25,99.81521739130434,466.99347826086944
BUG,2021/01/24,2021-11-01,280,1.385797870709715,4.61932623569905,29.508469171591212,675,Clay,15.1,23.9,0.0,2.0,29.0,95.0,120.7,21.1,34.2,54.0,7.9,76.0,100.0,639.7,18.8,30.347163120567373,3.808156028368794,4.973404255319149,50.06028368794326,99.93617021276596,437.95460992907806,15.1,25.3,0.0,2.7,29.0,100.0,265.8,19.8,33.9,54.0,7.8,70.0,100.0,624.6,18.46881720430108,30.527956989247308,3.6053763440860216,5.056989247311829,48.60215053763441,100.0,450.7677419354838
MEL,2021/01/01,2021-09-13,254,23.70732255209265,79.0244085069755,26.398934220266316,720,ClayLoam,13.4,22.7,0.0,1.4,29.0,100.0,128.4,21.0,35.0,73.8,6.3,89.0,100.0,563.2,18.7453125,30.63203125,4.850781250000001,4.2375,54.21176470588235,100.0,410.785546875,13.4,25.0,0.0,1.6,29.0,100.0,197.3,20.1,35.0,73.8,6.3,85.0,100.0,563.2,18.23225806451613,31.133333333333333,3.278494623655914,4.417204301075269,51.236559139784944,100.0,414.49139784946243
CEN,2021/03/16,2021-11-01,229,21.393221037162057,71.31073679054019,23.411679723143607,855,SiltClayLoam,15.0,23.0,0.0,1.5,29.0,95.0,188.2,21.4,34.6,70.4,8.0,81.0,100.0,626.2,19.01298701298702,29.627705627705627,3.377922077922079,4.594372294372294,52.85281385281385,99.4978354978355,432.72857142857146,15.0,25.8,0.0,2.2,29.0,95.0,230.0,20.9,34.6,24.0,8.0,69.0,100.0,626.2,18.92903225806452,29.8247311827957,2.3462365591397853,4.703225806451613,50.666666666666664,99.3010752688172,433.3215053763441
PAR,2021/01/01,2021-12-25,357,1.5059409091380895,5.019803030460299,37.06513720017499,465,Clay,14.2,22.8,0.0,1.8,33.0,98.0,142.1,20.0,33.9,70.9,7.5,79.0,100.0,640.2,17.85376044568245,30.317548746518106,5.62924791086351,4.6089136490250695,50.01671309192201,99.983286908078,434.83175487465184,14.7,25.7,0.0,2.2,35.0,100.0,236.1,19.3,33.8,55.4,7.4,63.0,100.0,637.2,17.48478260869565,30.654347826086955,5.498913043478261,4.863043478260869,48.96739130434783,100.0,452.46956521739133
ARE,2021/03/04,2021-11-01,241,1.1148005901836116,3.7160019672787055,22.022030984499136,90,Clay,13.0,17.2,0.0,0.3,38.0,77.0,80.5,16.5,26.7,72.4,4.6,90.0,100.0,571.8,14.886831275720166,22.026748971193417,6.51111111111111,1.623456790123457,68.48559670781893,99.35802469135803,273.8674897119342,13.7,18.2,0.0,0.6,38.0,77.0,139.4,16.2,26.7,72.4,4.6,85.0,100.0,571.8,14.794623655913977,22.23440860215054,6.08709677419355,1.7709677419354837,66.17204301075269,98.94623655913979,288.89032258064515
PAI,2021/03/28,2021-11-01,217,1.0034959475655243,3.344986491885081,21.980733436986657,510,Clay,15.4,24.3,0.0,1.8,31.0,96.0,117.3,21.2,33.9,43.6,8.1,77.0,100.0,666.9,18.967123287671235,30.78538812785388,4.391324200913242,4.8780821917808215,49.47488584474886,99.27853881278538,462.2324200913242,15.7,25.3,0.0,1.8,31.0,96.0,200.3,20.5,33.9,41.3,7.2,71.0,100.0,617.6,18.713978494623657,30.731182795698924,5.261290322580645,4.929032258064515,48.38709677419355,99.38709677419355,473.9516129032258
PTA,2021/01/21,2021-11-01,283,16.797561083279135,55.991870277597116,29.863553550642106,720,SiltClay,15.5,22.5,0.0,1.5,23.0,86.0,113.4,22.0,35.6,59.3,7.9,93.0,100.0,635.8,19.56736842105263,30.235087719298246,4.083157894736842,4.535438596491228,52.47017543859649,99.06315789473685,430.58701754385964,15.5,27.0,0.0,2.4,23.0,86.0,245.4,22.0,35.6,48.3,7.9,67.0,100.0,635.8,19.489247311827956,30.589247311827954,3.5892473118279566,4.733333333333333,49.913978494623656,98.64516129032258,440.631182795699
RUT,2021/01/01,2021-10-18,289,26.78685153403795,89.28950511345984,30.583859990826838,1095,SiltClayLoam,16.3,24.5,0.0,2.0,28.0,92.0,126.5,21.4,35.7,47.6,7.9,74.0,100.0,659.6,19.056013745704465,31.215120274914092,3.6872852233676974,5.293127147766322,47.914089347079035,99.64948453608247,476.1573883161512,16.7,27.2,0.0,2.9,28.0,98.0,295.6,21.0,35.7,47.6,7.9,61.0,100.0,659.6,18.825806451612902,31.412903225806453,5.166666666666667,5.499999999999999,47.354838709677416,99.96774193548387,496.5989247311828
