estacion,start_date,harvest_date,harvest_steps,dry_yield,fresh_yield,yield_potencial,seasonal_irrigation,type_soil,MinTemp_min,MaxTemp_min,Precipitation_min,ReferenceET_min,MinHmd_min,MaxHmd_min,Radsolar_min,MinTemp_max,MaxTemp_max,Precipitation_max,ReferenceET_max,MinHmd_max,MaxHmd_max,Radsolar_max,MinTemp_mean,MaxTemp_mean,Precipitation_mean,ReferenceET_mean,MinHmd_mean,MaxHmd_mean,Radsolar_mean,MinTemp_last_quarter_min,MaxTemp_last_quarter_min,Precipitation_last_quarter_min,ReferenceET_last_quarter_min,MinHmd_last_quarter_min,MaxHmd_last_quarter_min,Radsolar_last_quarter_min,MinTemp_last_quarter_max,MaxTemp_last_quarter_max,Precipitation_last_quarter_max,ReferenceET_last_quarter_max,MinHmd_last_quarter_max,MaxHmd_last_quarter_max,Radsolar_last_quarter_max,MinTemp_last_quarter_mean,MaxTemp_last_quarter_mean,Precipitation_last_quarter_mean,ReferenceET_last_quarter_mean,MinHmd_last_quarter_mean,MaxHmd_last_quarter_mean,Radsolar_last_quarter_mean
TIP,2021/03/08,2021-11-01,237,22.143616628191975,73.81205542730659,24.367018734235806,1590,SandyLoam,14.1,23.0,0.0,1.6,25.0,98.0,158.4,20.9,34.7,70.1,7.9,89.0,100.0,617.0,18.814644351464437,30.223430962343098,4.989539748953975,4.8983263598326365,53.09623430962343,99.99163179916317,443.59246861924686,14.1,25.1,0.0,3.1,25.0,98.0,275.0,20.9,34.7,40.5,7.9,74.0,100.0,617.0,18.777419354838713,30.461290322580645,3.7129032258064516,5.1752688172043015,50.67741935483871,99.97849462365592,451.4247311827957
PAI,2021/01/01,2021-11-04,306,28.212506460754724,94.04168820251576,32.6151537604942,1005,SiltClayLoam,15.4,24.3,0.0,1.8,31.0,94.0,117.3,21.2,34.4,43.7,8.1,77.0,100.0,666.9,19.022077922077923,30.77012987012987,4.144155844155844,4.8909090909090915,48.87662337662338,98.99675324675324,456.36623376623385,15.7,25.3,0.0,1.8,31.0,96.0,200.3,20.5,33.9,41.3,7.2,71.0,100.0,617.6,18.7247311827957,30.69354838709678,5.334408602150538,4.949462365591398,48.59139784946237,99.43010752688173,476.0903225806452
AMA,2021/01/01,2021-07-15,194,17.877940537921905,59.59313512640635,,1350,SandyLoam,15.1,20.5,0.0,1.7,36.0,90.0,159.9,21.2,33.3,74.1,8.0,82.0,100.0,654.4,18.690306122448977,29.504591836734697,3.7479591836734696,4.704615384615385,51.748717948717946,97.91836734693878,425.7205128205128,15.1,20.5,0.0,1.9,36.0,90.0,173.3,21.0,32.3,46.4,8.0,77.0,100.0,654.4,18.704347826086952,29.51521739130435,3.571739130434783,4.768131868131869,51.81318681318681,98.0,436.28021978021985
ORT,2021/01/01,2021-08-21,231,21.58101164789829,71.9367054929943,23.650068935201084,720,SiltClayLoam,14.9,22.5,0.0,1.6,29.0,97.0,162.6,21.0,33.9,61.6,7.0,89.0,100.0,618.8,18.855364806866948,30.191845493562234,5.017167381974249,4.545922746781116,52.97424892703863,99.98283261802575,436.03218884120173,14.9,24.3,0.0,1.7,29.0,97.0,195.2,21.0,33.9,26.2,6.9,76.0,100.0,584.8,18.60322580645161,30.558064516129033,2.516129032258065,4.495698924731183,50.74193548387097,99.95698924731182,422.1354838709678
PAR,2021/02/04,2021-11-01,269,1.1582502091075286,3.8608340303584288,28.18620564544117,375,Clay,14.2,22.8,0.0,1.8,33.0,98.0,142.1,20.0,33.8,70.9,7.5,79.0,100.0,640.2,17.94169741697417,30.15867158671587,5.909963099630997,4.503321033210333,50.67158671586716,99.97785977859779,426.4372693726938,14.2,25.7,0.0,2.2,33.0,98.0,236.1,19.3,33.8,55.4,7.4,68.0,100.0,637.2,17.486021505376346,30.56129032258065,5.943010752688172,4.724731182795699,48.74193548387097,99.97849462365592,444.9440860215054
PLR,2021/01/01,2021-09-24,265,15.888846178166018,52.962820593886725,27.707245239219862,660,SiltClay,14.6,21.7,0.0,1.2,27.0,95.0,99.6,21.2,34.1,54.1,7.9,93.0,100.0,645.0,18.628089887640453,29.803370786516854,3.9902621722846447,4.474157303370786,51.86516853932584,99.39700374531836,423.14456928838956,14.6,25.7,0.0,2.1,27.0,95.0,210.5,20.0,34.1,21.9,7.9,69.0,100.0,601.1,18.187096774193545,30.16021505376344,1.909677419354839,4.594623655913978,48.645161290322584,99.29032258064517,421.3021505376345
TUL,2021/01/05,2021-11-01,299,27.628148256012256,92.09382752004086,31.77568749360646,885,ClayLoam,14.8,23.4,0.0,1.6,30.0,96.0,111.5,21.3,34.2,63.1,7.7,82.0,100.0,650.2,18.646179401993354,30.124916943521598,4.0488372093023255,4.701993355481728,51.056478405315616,99.90697674418605,452.32990033222586,14.8,25.4,0.0,2.3,30.0,99.0,272.7,20.3,34.2,46.4,7.7,68.0,100.0,650.2,18.33548387096774,30.33655913978495,4.110752688172043,4.893548387096775,49.82795698924731,99.98924731182795,465.44946236559133
GUA,2021/01/01,2021-11-25,327,29.90938041119864,99.69793470399547,35.12078605977461,1200,SiltClayLoam,15.4,23.5,0.0,1.5,26.0,89.0,131.4,21.5,33.7,40.3,8.4,80.0,100.0,641.4,18.698480243161093,29.906382978723407,3.8541033434650456,4.811246200607903,50.878419452887535,98.62310030395136,439.5252279635258,16.1,24.5,0.0,2.6,28.0,93.0,232.1,20.8,33.7,40.3,8.4,72.0,100.0,641.4,18.669892473118278,29.89677419354838,4.862365591397849,5.087096774193548,50.60215053763441,98.79569892473118,455.55806451612904
PLR,2021/03/02,2021-11-01,243,14.496017303077766,48.320057676925884,25.08212668309524,615,SiltClay,14.6,21.7,0.0,1.2,27.0,95.0,99.6,20.7,34.3,54.1,7.9,93.0,100.0,645.0,18.486530612244902,29.805306122448982,4.111020408163266,4.514693877551021,51.74285714285714,99.55918367346939,422.9881632653062,14.6,25.2,0.0,1.9,27.0,95.0,192.4,20.0,34.3,21.9,7.9,69.0,100.0,601.1,18.22795698924731,30.150537634408607,2.741935483870968,4.73225806451613,49.215053763440864,99.25806451612904,422.84731182795707
ARE,2021/02/09,2021-07-12,152,6.872810682028391,22.909368940094637,12.51286020502006,135,SiltClay,13.0,17.2,0.0,0.3,50.0,92.0,80.5,16.3,25.1,70.4,3.7,90.0,100.0,504.3,14.87012987012987,21.791558441558443,7.318181818181818,1.5181818181818183,70.21428571428571,99.6948051948052,262.6987012987013,13.2,17.5,0.0,0.5,50.0,92.0,127.2,16.3,25.1,70.4,3.7,85.0,100.0,504.3,14.940217391304348,21.98478260869565,6.378260869565217,1.5380434782608698,69.6304347826087,99.6086956521739,264.22391304347826
